"","name","city","country","region","members","fullurl","created","past_events","upcoming_events"
"116","R-Ladies Monterrey","Monterrey","Mexico","Latin America",312,"https://www.meetup.com/rladies-monterrey/",2020-01-12,7,0
"117","R-Ladies Vitória","Vitória","Brazil","Latin America",186,"https://www.meetup.com/rladies-vitoria/",2019-09-29,3,0
"118","R-Ladies Chennai","Chennai","India","Asia",331,"https://www.meetup.com/rladies-chennai/",2017-10-15,6,0
"119","R-Ladies Charlottesville","Charlottesville","USA","US/Canada",414,"https://www.meetup.com/rladies-charlottesville/",2017-09-21,18,0
"120","R-Ladies Cape Town","Cape Town","South Africa","Africa",717,"https://www.meetup.com/rladies-cape-town/",2017-03-06,30,0
"121","R-Ladies Brussels","Brussels","Belgium","Europe",232,"https://www.meetup.com/rladies-brussels/",2017-08-15,10,0
"122","R-Ladies Strasbourg","Strasbourg","France","Europe",75,"https://www.meetup.com/rladies-strasbourg/",2017-09-27,11,1
"123","R-Ladies Orlando","Orlando","USA","US/Canada",325,"https://www.meetup.com/rladies-orlando/",2017-06-05,17,0
"124","South Central PA R-Ladies","Middletown","USA","US/Canada",9,"https://www.meetup.com/South-Central-PA-R-Ladies/",2019-08-24,0,0
"125","R-Ladies RTP","Durham","USA","US/Canada",813,"https://www.meetup.com/rladies-rtp/",2016-08-15,50,6
"126","R-Ladies San Francisco","San Francisco","USA","US/Canada",1642,"https://www.meetup.com/rladies-san-francisco/",2012-10-01,60,0
"127","R-Ladies Valparaíso","Valparaíso","Chile","Latin America",293,"https://www.meetup.com/rladies-valparaiso/",2018-05-18,19,1
"128","R-Ladies Belo Horizonte","Belo Horizonte","Brazil","Latin America",834,"https://www.meetup.com/rladies-belo-horizonte/",2018-04-20,16,0
"129","R-Ladies Bari","Bari","Italy","Europe",98,"https://www.meetup.com/rladies-bari/",2018-05-17,17,0
"130","R-Ladies Milan","Milano","Italy","Europe",976,"https://www.meetup.com/rladies-milan/",2017-06-29,26,0
"131","R-Ladies New York","New York","USA","US/Canada",1984,"https://www.meetup.com/rladies-newyork/",2016-08-23,54,1
"132","R-Ladies Pune","Pune","India","Asia",135,"https://www.meetup.com/rladies-pune/",2019-09-29,7,0
"133","R-Ladies Ottawa","Ottawa","Canada","US/Canada",226,"https://www.meetup.com/rladies-ottawa/",2018-12-05,6,0
"134","R-Ladies Lexington Park","Lexington Park","USA","US/Canada",35,"https://www.meetup.com/rladies-lexington-park/",2019-08-16,2,0
"135","R-Ladies Bergen","Bergen","Norway","Europe",254,"https://www.meetup.com/rladies-bergen/",2019-10-28,9,1
"136","R-Ladies Cuernavaca","Cuernavaca","Mexico","Latin America",477,"https://www.meetup.com/rladies-cuernavaca/",2019-08-15,9,0
"137","R-Ladies CDMX","México City","Mexico","Latin America",1829,"https://www.meetup.com/rladies-cdmx/",2017-07-04,13,2
"138","R-Ladies Yaoundé","Yaoundé","Cameroon","Africa",51,"https://www.meetup.com/rladies-yaounde/",2020-01-05,0,0
"139","R-Ladies Buffalo","Buffalo","USA","US/Canada",28,"https://www.meetup.com/rladies-buffalo/",2017-05-28,4,0
"140","R Ladies Aarhus","Aarhus","Denmark","Europe",8,"https://www.meetup.com/rladies-aarhus/",2020-11-20,0,0
"141","R-Ladies Ribeirão Preto","Ribeirão Preto","Brazil","Latin America",112,"https://www.meetup.com/rladies-ribeirao-preto/",2020-03-06,2,0
"142","R-Ladies Taipei","Taipei","Taiwan","Asia",1753,"https://www.meetup.com/rladies-taipei/",2016-10-23,45,1
"143","R-Ladies Cochabamba","Cochabamba","Bolivia","Latin America",11,"https://www.meetup.com/rladies-cochabamba/",2020-06-12,0,0
"144","R-Ladies Cusco","Cusco","Peru","Latin America",22,"https://www.meetup.com/rladies-cusco/",2020-05-09,2,0
"145","R-Ladies Twin Cities","Minneapolis","USA","US/Canada",406,"https://www.meetup.com/rladies-tc/",2015-04-01,43,3
"146","R-Ladies Jujuy","Jujuy","Argentina","Latin America",120,"https://www.meetup.com/rladies-jujuy/",2020-11-20,1,0
"147","R-Ladies St. Louis","Saint Louis","USA","US/Canada",740,"https://www.meetup.com/rladies-st-louis/",2017-08-28,20,2
"148","R-Ladies PDX","Portland","USA","US/Canada",246,"https://www.meetup.com/rladies-pdx/",2017-07-20,14,0
"149","R-Ladies Miami","Miami","USA","US/Canada",1106,"https://www.meetup.com/rladies-miami/",2017-06-03,31,0
"150","R-Ladies Abuja","Abuja","Nigeria","Africa",184,"https://www.meetup.com/rladies-abuja/",2020-02-04,3,0
"151","R Users & R-Ladies Warsaw (Spotkania Entuzjastów R)","Warsaw","Poland","Europe",2813,"https://www.meetup.com/Spotkania-Entuzjastow-R-Warsaw-R-Users-Group-Meetup/",2014-10-06,104,3
"152","R-Ladies Madison","Madison","USA","US/Canada",124,"https://www.meetup.com/R-Ladies-Madison/",2019-04-30,10,0
"153","R-Ladies Istanbul","Istanbul","Turkey","Europe",1909,"https://www.meetup.com/rladies-istanbul/",2016-09-06,35,0
"154","R-Ladies Budapest","Budapest","Hungary","Europe",862,"https://www.meetup.com/rladies-budapest/",2017-01-24,33,0
"155","R-Ladies Austin","Austin","USA","US/Canada",628,"https://www.meetup.com/rladies-austin/",2017-01-31,45,0
"156","R-Ladies Ankara","Ankara","Turkey","Europe",548,"https://www.meetup.com/rladies-ankara/",2019-07-01,11,0
"157","R-Ladies Den Bosch","Den Bosch","Netherlands","Europe",110,"https://www.meetup.com/rladies-den-bosch/",2019-03-23,6,0
"158","R-Ladies Ushuaia","Ushuaia","Argentina","Latin America",29,"https://www.meetup.com/rladies-ushuaia/",2020-05-16,3,0
"159","R-Ladies Bogor","Bogor","Indonesia","Asia",278,"https://www.meetup.com/rladies-bogor/",2019-04-07,8,0
"160","R-Ladies Podgorica","Podgorica","Montenegro","Europe",25,"https://www.meetup.com/rladies-podgorica/",2019-09-18,1,0
"161","R-Ladies Al-Khartum","al-Khartum","Sudan","Africa",38,"https://www.meetup.com/rladies-al-khartum/",2019-11-23,0,0
"162","R-Ladies Eskisehir","Eskisehir","Turkey","Europe",115,"https://www.meetup.com/rladies-eskisehir/",2019-11-13,10,0
"163","R-Ladies Masqat","Muscat","Oman","Asia",119,"https://www.meetup.com/rladies-masqat/",2019-10-31,1,0
"164","R-Ladies Oxford Ohio","Oxford","USA","US/Canada",49,"https://www.meetup.com/rladies-oxford-ohio/",2019-11-23,3,1
"165","R-Ladies Calgary","Calgary","Canada","US/Canada",102,"https://www.meetup.com/rladies-calgary/",2019-09-14,1,0
"166","R-Ladies Beijing","Beijing","China","Asia",55,"https://www.meetup.com/rladies-beijing/",2019-11-13,3,0
"167","R-Ladies Lagos","Lagos","Nigeria","Africa",292,"https://www.meetup.com/rladies-lagos/",2019-08-16,3,0
"168","R-Ladies Nelson","Nelson","New Zealand","Australia",13,"https://www.meetup.com/rladies-nelson/",2019-03-23,0,0
"169","R-Ladies Floripa","Florianópolis","Brazil","Latin America",445,"https://www.meetup.com/rladies-florianopolis/",2019-04-07,8,0
"170","R-Ladies Medellín","Medellín","Colombia","Latin America",442,"https://www.meetup.com/rladies-medellin/",2019-09-28,5,0
"171","R-Ladies Queretaro","Querétaro","Mexico","Latin America",524,"https://www.meetup.com/rladies-queretaro/",2019-03-30,12,0
"172","R-Ladies Galapagos Islands","Puerto Ayora","Ecuador","Pacific/Galapagos",237,"https://www.meetup.com/rladies-galapagos-islands/",2020-01-12,10,0
"173","R-Ladies Pachuca","Pachuca","Mexico","Latin America",11,"https://www.meetup.com/rladies-pachuca/",2019-09-15,0,0
"174","R-Ladies Banda Aceh","Banda Aceh","Indonesia","Asia",36,"https://www.meetup.com/rladies-banda-aceh/",2020-06-24,2,0
"175","R-Ladies Bangalore","Bangalore","India","Asia",113,"https://www.meetup.com/rladies-bangalore/",2020-08-12,6,0
"176","R-Ladies Asunción","Asunción","Paraguay","Latin America",70,"https://www.meetup.com/rladies-asuncion/",2020-07-03,1,0
"177","R-Ladies Barranquilla","Barranquilla","Colombia","Latin America",213,"https://www.meetup.com/rladies-barranquilla/",2020-05-02,5,0
"178","R-Ladies Tunis","Tunis","Tunisia","Africa",593,"https://www.meetup.com/rladies-tunis/",2020-05-15,22,1
"179","R-Ladies Algiers","al-Jaza´ir","Algeria","Africa",135,"https://www.meetup.com/rladies-algiers/",2020-05-02,3,0
"180","R-Ladies Natal","Natal","Brazil","Latin America",348,"https://www.meetup.com/rladies-natal/",2020-06-07,6,0
"181","R-Ladies Curitiba","Curitiba","Brazil","Latin America",49,"https://www.meetup.com/rladies-curitiba/",2020-06-12,3,0
"182","R-Ladies Waltham","Waltham","USA","US/Canada",25,"https://www.meetup.com/rladies-waltham/",2020-07-03,1,0
"183","R-Ladies Kuala Lumpur","Kuala Lumpur","Malaysia","Asia",11,"https://www.meetup.com/rladies-kuala-lumpur/",2020-11-23,0,0
"184","R-Ladies Ha Noi","Ha Noi","Vietnam","Asia",39,"https://www.meetup.com/rladies-ha-noi/",2020-02-16,0,0
"185","R-Ladies Aguascalientes","Aguascalientes","Mexico","Latin America",313,"https://www.meetup.com/rladies-aguascalientes/",2020-02-22,5,0
"186","R-Ladies Saudi Arabia (Dammam)","Dammam","Saudi Arabia","Asia",121,"https://www.meetup.com/rladies-dammam/",2020-11-20,2,1
"187","R-Ladies Fortaleza","Fortaleza","Brazil","Latin America",104,"https://www.meetup.com/rladies-fortaleza/",2020-06-09,2,0
"188","R-Ladies Glasgow","Glasgow","United Kingdom","Europe",42,"https://www.meetup.com/rladies-glasgow/",2020-06-24,1,0
"189","R-Ladies Cordoba","Córdoba","Argentina","Latin America",32,"https://www.meetup.com/rladies-cordoba/",2020-05-14,3,0
"190","R-Ladies General Pico","General Pico","Argentina","Latin America",62,"https://www.meetup.com/rladies-general-pico/",2020-03-14,5,0
"191","R-Ladies Tijuana","Tijuana","Mexico","Latin America",47,"https://www.meetup.com/rladies-tijuana/",2020-08-24,2,0
"192","R-Ladies Concepción","Concepción","Chile","Latin America",503,"https://www.meetup.com/rladies-concepcion/",2019-04-16,28,0
"193","R-Ladies Guadalajara","Guadalajara","Mexico","Latin America",268,"https://www.meetup.com/rladies-guadalajara/",2020-08-15,2,0
"194","R-Ladies Talca","Talca","Chile","Latin America",123,"https://www.meetup.com/rladies-talca/",2020-05-14,3,0
"195","R-Ladies Adelaide","Adelaide","Australia","Australia",308,"https://www.meetup.com/rladies-adelaide/",2017-02-02,9,0
"196","R-Ladies Bogotá","Bogotá","Colombia","Latin America",276,"https://www.meetup.com/rladies-bogota/",2017-09-22,6,0
"197","Deadly Divas-Bend's True Crime Book Club for Ladies","Bend","USA","US/Canada",120,"https://www.meetup.com/Deadly-Divas-Bends-True-Crime-Book-Club-for-Ladies/",2019-08-11,21,1
